name,erp18,erp19,erp20,erp21,avann1820num,avann1820per,chg2021num,chg2021per
Far North district,67900,69200,71300,72600,1700,2.4,1300,1.9
Whangārei district,94100,95600,97700,99400,1800,1.9,1600,1.7
Kaipara district,23700,24300,25300,26000,790,3.3,670,2.6
Auckland,1654800,1681300,1716900,1715600,31000,1.9,-1280,-0.1
Rodney local board area,69100,71200,74400,76700,2700,3.8,2200,3
Hibiscus and Bays local board area,108500,110900,113600,114500,2600,2.3,900,0.8
Upper Harbour local board area,66800,68700,70800,71300,2000,2.9,550,0.8
Kaipātiki local board area,92900,93300,93800,92400,440,0.5,-1410,-1.5
Devonport-Takapuna local board area,60500,60600,61000,59900,250,0.4,-1130,-1.8
Henderson-Massey local board area,124600,126600,129100,129600,2200,1.8,530,0.4
Waitākere Ranges local board area,54200,54600,55700,55900,720,1.3,260,0.5
Aotea/Great Barrier local board area,960,990,1030,1050,30,3.3,20,2.3
Waiheke local board area,9360,9490,9780,9790,210,2.2,10,0.1
Waitematā local board area,88500,90700,92900,89000,2200,2.4,-3900,-4.2
Whau local board area,84100,85200,86100,85400,1000,1.2,-720,-0.8
Albert-Eden local board area,103700,103800,104600,102400,420,0.4,-2220,-2.1
Puketāpapa local board area,60900,61400,62400,61500,770,1.2,-910,-1.5
Ōrākei local board area,87700,88000,89800,89100,1000,1.1,-670,-0.7
Maungakiekie-Tamaki local board area,80500,82100,83300,83100,1400,1.7,-200,-0.2
Howick local board area,149400,151600,154900,154500,2700,1.8,-420,-0.3
Māngere-Ōtāhuhu local board area,82700,84300,86100,86700,1700,2,600,0.7
Ōtara-Papatoetoe local board area,90500,92000,93700,93500,1600,1.7,-260,-0.3
Manurewa local board area,100900,102900,105800,107300,2400,2.4,1600,1.5
Papakura local board area,61100,63400,66800,69300,2900,4.6,2500,3.7
Franklin local board area,77700,79300,81400,82800,1800,2.4,1400,1.7
Thames-Coromandel district,30700,31200,32400,33000,850,2.7,600,1.9
Hauraki district,20700,21000,21500,21800,430,2.1,310,1.4
Waikato district,78200,80500,83700,85900,2800,3.5,2200,2.6
Matamata-Piako district,35300,35800,36300,36700,510,1.4,310,0.9
Hamilton city,168600,172500,176900,178500,4100,2.4,1600,0.9
Waipa district,55000,56400,58600,59500,1800,3.2,970,1.7
Ōtorohanga district,10500,10600,10700,10750,100,1,60,0.5
South Waikato district,24800,25100,25400,25500,300,1.2,110,0.4
Waitomo district,9630,9600,9660,9640,20,0.2,-20,-0.2
Taupō district,38600,39400,40400,41000,930,2.4,570,1.4
Western Bay of Plenty district,53300,54800,57000,58100,1800,3.3,1100,2
Tauranga city,142100,146400,152200,155200,5000,3.5,3100,2
Rotorua district,74800,75700,77100,77400,1200,1.6,250,0.3
